T_K,B2V_LJ_A3mol, B2V_SW_A3mol, B2V_HS_A3mol,B2V_LJ_cm3mol, B2V_SW_cm3mol, B2V_HS_cm3mol
2.838383838383838338e+02,-1.618513402645731825e+25,-1.004139567786740526e+25,4.938475327929690809e+25,-1.618513402645731603e+01,-1.004139567786740450e+01,4.938475327929690195e+01
2.909090909090908781e+02,-1.469958256253738648e+25,-8.290397891831648238e+24,4.938475327929690809e+25,-1.469958256253738504e+01,-8.290397891831647215e+00,4.938475327929690195e+01
2.979797979797979792e+02,-1.329492949979091189e+25,-6.638601572213123826e+24,4.938475327929690809e+25,-1.329492949979091065e+01,-6.638601572213123525e+00,4.938475327929690195e+01
3.050505050505050804e+02,-1.196493866362599658e+25,-5.077876740025277173e+24,4.938475327929690809e+25,-1.196493866362599512e+01,-5.077876740025276447e+00,4.938475327929690195e+01
3.121212121212121247e+02,-1.070399464145352850e+25,-3.600952265028109632e+24,4.938475327929690809e+25,-1.070399464145352830e+01,-3.600952265028109167e+00,4.938475327929690195e+01
3.191919191919191690e+02,-9.507027597280986519e+24,-2.201306004903318490e+24,4.938475327929690809e+25,-9.507027597280986342e+00,-2.201306004903318403e+00,4.938475327929690195e+01
3.262626262626262701e+02,-8.369448742783764104e+24,-8.730713075989937484e+23,4.938475327929690809e+25,-8.369448742783763606e+00,-8.730713075989936511e-01,4.938475327929690195e+01
3.333333333333333712e+02,-7.287094744695881003e+24,3.890428861313026779e+23,4.938475327929690809e+25,-7.287094744695880699e+00,3.890428861313026676e-01,4.938475327929690195e+01
3.404040404040404155e+02,-6.256179658358430202e+24,1.589820584223483921e+24,4.938475327929690809e+25,-6.256179658358429485e+00,1.589820584223483824e+00,4.938475327929690195e+01
3.474747474747474598e+02,-5.273253225826691850e+24,2.733597761031351107e+24,4.938475327929690809e+25,-5.273253225826691093e+00,2.733597761031350881e+00,4.938475327929690195e+01
3.545454545454545610e+02,-4.335164577297297790e+24,3.824313354395322853e+24,4.938475327929690809e+25,-4.335164577297297761e+00,3.824313354395322495e+00,4.938475327929690195e+01
3.616161616161616053e+02,-3.439030536937446864e+24,4.865553480907450189e+24,4.938475327929690809e+25,-3.439030536937446758e+00,4.865553480907450101e+00,4.938475327929690195e+01
3.686868686868687064e+02,-2.582207866331843617e+24,5.860589894965699426e+24,4.938475327929690809e+25,-2.582207866331843515e+00,5.860589894965698932e+00,4.938475327929690195e+01
3.757575757575757507e+02,-1.762268886822050886e+24,6.812413544262373720e+24,4.938475327929690809e+25,-1.762268886822050851e+00,6.812413544262373222e+00,4.938475327929690195e+01
