T_K,Z_iso,Z_soc,Z_cfs,U_iso_eV,F_iso_eV,S_iso_eV_perK,U_soc_eV,F_soc_eV,S_soc_eV_perK,U_cfs_eV,F_cfs_eV,S_cfs_eV_perK,U_iso_J,F_iso_J,S_iso_J_perK,U_soc_J,F_soc_J,S_soc_J_perK,U_cfs_J,F_cfs_J,S_cfs_J_perK
385.42713567839195,14.0,6.001745254192285,4.406384298732027,0.0,-0.08765243819609862,0.000227416365072016,8.142151210071411e-05,-0.05952033577782545,0.00015463819687999095,0.008624314796080525,-0.0492574899705383,0.0001501757385731049,0.0,-1.4043468839091833e-20,3.6436118630759776e-23,1.304516441927124e-23,-9.536209123106615e-21,2.477577057650132e-23,1.3817675650540692e-21,-7.891919948028581e-21,2.4060805933552115e-23
393.96984924623115,14.0,6.002095306855064,4.432044938560853,0.0,-0.089595191063548,0.00022741636507201597,9.774685162827565e-05,-0.06084154101465471,0.0001546800801707948,0.009169648498094613,-0.05054637966199489,0.00015157512249818636,0.0,-1.4354732164078223e-20,3.643611863075977e-23,1.566077217258881e-23,-9.747889539023242e-21,2.4782481019489417e-23,1.4691396565640381e-21,-8.098422842774103e-21,2.4285011956228188e-23
402.51256281407035,14.0,6.002496127471159,4.458289135699805,0.0,-0.09153794393099739,0.00022741636507201597,0.00011643750817693835,-0.06216312537104176,0.00015472700390717253,0.009724207806851903,-0.05184719616196848,0.00015296765780019046,0.0,-1.4665995489064613e-20,3.643611863075977e-23,1.8655345492227454e-23,-9.959630696589569e-21,2.478999903088985e-23,1.5579898532298504e-21,-8.306836622912037e-21,2.4508120708517296e-23
411.05527638190955,14.0,6.002952066706794,4.485089708353597,0.0,-0.09348069679844677,0.00022741636507201597,0.00013769536533311832,-0.06348513313056614,0.00015477925269784783,0.010287041739062917,-0.053159872075382926,0.00015435129399846847,0.0,-1.4977258814051002e-20,3.643611863075977e-23,2.2061229694681578e-23,-1.0171439690817234e-20,2.4798370210047323e-23,1.6481657907309329e-21,-8.51715049056076e-21,2.472980366720106e-23
419.59798994974875,14.0,6.0034675189521085,4.512419667483628,0.0,-0.09542344966589615,0.00022741636507201597,0.00016172408754196177,-0.06480761095266178,0.00015483709788024604,0.010857222134084786,-0.054484323269244773,0.0001557241620989531,0.0,-1.5288522139037392e-20,3.643611863075977e-23,2.5911055421470163e-23,-1.0383323997371718e-20,2.4807638030010112e-23,1.7395187613378257e-21,-8.729350966128647e-21,2.4949761386417103e-23
428.1407035175879,14.0,6.004046899092899,4.540252306785975,0.0,-0.09736620253334553,0.000227416365072016,0.00018872799714185723,-0.06613060775232542,0.00015490079594065716,0.011433847483927758,-0.05582045039996352,0.00015708456900110759,0.0,-1.5599785464023782e-20,3.6436118630759776e-23,3.0237558720230243e-23,-1.0595291453299504e-20,2.4817843584412294e-23,1.831904327546874e-21,-8.94342213301775e-21,2.5167722601553526e-23
436.6834170854271,14.0,6.004694620092761,4.568561281021985,0.0,-0.09930895540079492,0.000227416365072016,0.0002189109870091628,-0.06745417456734948,0.00015497058717281207,0.01201604608154958,-0.057168140388332914,0.00015843099088039836,0.0,-1.5911048789010172e-20,3.6436118630759776e-23,3.5073406831195815e-23,-1.080735023575644e-20,2.482902537255396e-23,1.9251828264925995e-21,-9.159345873941868e-21,2.5383443169004132e-23
445.2261306532663,14.0,6.005415071591525,4.597320673580523,0.0,-0.10125170826824431,0.00022741636507201603,0.0002524754788056955,-0.0687783644150973,0.00015504669456982726,0.01260297854189886,-0.05852726783447893,0.00015976206578892984,0.0,-1.6222312113996562e-20,3.6436118630759776e-23,4.0451031280044754e-23,-1.1019508839060597e-20,2.484121912187119e-23,2.0192197738633742e-21,-9.377102097626192e-21,2.5596704880659414e-23
453.7688442211055,14.0,6.006212599684767,4.6265050541434585,0.0,-0.1031944611356937,0.00022741636507201603,0.00028962143494990595,-0.07010323214077994,0.00015512932294097718,0.013193839751655825,-0.05989769636702806,0.00016107658568790802,0.0,-1.6533575438982952e-20,3.6436118630759776e-23,4.6402469578229026e-23,-1.1231776050383542e-20,2.485445764642738e-23,2.1138861762843324e-21,-9.596668954967904e-21,2.5807314187366502e-23
462.3115577889447,14.0,6.007091488010974,4.656089527305215,0.0,-0.10513721400314306,0.00022741636507201597,0.0003305454306856399,-0.07142883425910909,0.000155218658242056,0.013787860303671736,-0.06127927992245563,0.000162373488097819,0.0,-1.6844838763969342e-20,3.643611863075977e-23,5.295921655199988e-23,-1.1444160924380328e-20,2.4868770739625363e-23,2.2090587611399e-21,-9.818023044010374e-21,2.6015100861140268e-23
